Date,New Cases,Total Cases,New Deaths,Total Deaths
2020-07-17,67165,3472659,946,136753
2020-07-18,71484,3544143,921,137674
2020-07-19,74354,3618497,917,138591
2020-07-20,66963,3685460,877,139468
2020-07-21,62788,3748248,496,139964
2020-07-22,57276,3805524,473,140437
2020-07-23,62929,3868453,1042,141479
2020-07-24,69641,3938094,1074,142553
2020-07-25,71714,4009808,1110,143663
2020-07-26,74235,4084043,1135,144798
2020-07-27,63968,4148011,929,145727
2020-07-28,61498,4209509,604,146331
2020-07-29,54022,4263531,1118,147449
2020-07-30,59629,4323160,1191,148640
2020-07-31,65406,4388566,1414,150054
2020-08-01,67823,4456389,1211,151265
2020-08-02,67499,4523888,1365,152630
2020-08-03,58388,4582276,1127,153757
2020-08-04,47183,4629459,469,154226
